date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:13	175018/175018	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Jun%202022%2018:48:25%20GMT	https://wudroz-b34262.ingress-erytho.ewp.live/	C:/Users/Partha/Desktop/Survey%20Form/Pharmacy/wudroz-b34262.ingress-erytho.ewp.live/index.html	(from )
00:20:14	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2021%20Jun%202022%2018:50:07%20GMT	https://wudroz-b34262.ingress-erytho.ewp.live/robots.txt		(from )
00:20:15	146/146	---M--	403	error ('Forbidden')	text/html	date:Tue,%2021%20Jun%202022%2018:50:10%20GMT	https://wudroz-b34262.ingress-erytho.ewp.live/wp-content/plugins/presto-player/dist/	C:/Users/Partha/Desktop/Survey%20Form/Pharmacy/wudroz-b34262.ingress-erytho.ewp.live/wp-content/plugins/presto-player/dist/index.html	(from https://wudroz-b34262.ingress-erytho.ewp.live/)
00:20:15	23580/23580	---M--	200	added ('OK')	font/woff2	etag:%2262b211cd-5c1c%22	https://wudroz-b34262.ingress-erytho.ewp.live/wp-content/astra-local-fonts/lato/S6uyw4BMUTPHjx4wXg.woff2	C:/Users/Partha/Desktop/Survey%20Form/Pharmacy/wudroz-b34262.ingress-erytho.ewp.live/wp-content/astra-local-fonts/lato/S6uyw4BMUTPHjx4wXg.woff2	(from https://wudroz-b34262.ingress-erytho.ewp.live/)
00:20:16	12804/12804	---M--	200	added ('OK')	font/woff2	etag:%2262b211cf-3204%22	https://wudroz-b34262.ingress-erytho.ewp.live/wp-content/astra-local-fonts/montserrat/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCuM73w5aXo.woff2	C:/Users/Partha/Desktop/Survey%20Form/Pharmacy/wudroz-b34262.ingress-erytho.ewp.live/wp-content/astra-local-fonts/montserrat/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCuM73w5aXo.woff2	(from https://wudroz-b34262.ingress-erytho.ewp.live/)
00:20:18	45770/45770	---MCZ	200	added ('OK')	text/css	etag:W/%2262b1b53c-b2ca%22	https://wudroz-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.8.2	C:/Users/Partha/Desktop/Survey%20Form/Pharmacy/wudroz-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/css/minified/frontend.min3fd0.css	(from https://wudroz-b34262.ingress-erytho.ewp.live/)
00:20:19	1132/1132	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%22acdc25ecb23084d3e909e42fd2505190%22	https://wudroz-b34262.ingress-erytho.ewp.live/feed/	C:/Users/Partha/Desktop/Survey%20Form/Pharmacy/wudroz-b34262.ingress-erytho.ewp.live/feed/index.html	(from https://wudroz-b34262.ingress-erytho.ewp.live/)
00:20:20	758/758	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22acdc25ecb23084d3e909e42fd2505190%22	https://wudroz-b34262.ingress-erytho.ewp.live/comments/feed/	C:/Users/Partha/Desktop/Survey%20Form/Pharmacy/wudroz-b34262.ingress-erytho.ewp.live/comments/feed/index.html	(from https://wudroz-b34262.ingress-erytho.ewp.live/)
00:20:20	3304/3304	---M--	200	added ('OK')	font/woff	etag:%2262b1b53d-ce8%22	https://wudroz-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/Partha/Desktop/Survey%20Form/Pharmacy/wudroz-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/fonts/astra.woff	(from https://wudroz-b34262.ingress-erytho.ewp.live/)
00:20:22	2848/2848	---MCZ	200	added ('OK')	text/css	etag:W/%2262b211cf-b20%22	https://wudroz-b34262.ingress-erytho.ewp.live/wp-content/astra-local-fonts/astra-local-fonts.css?ver=3.8.2	C:/Users/Partha/Desktop/Survey%20Form/Pharmacy/wudroz-b34262.ingress-erytho.ewp.live/wp-content/astra-local-fonts/astra-local-fonts3fd0.css	(from https://wudroz-b34262.ingress-erytho.ewp.live/)
